label,gender,offenseLevel,notes
Fripouille,F,LOW,
Lâche,M,MEDIUM,
Malandrin,M,MEDIUM,
Orchidoclaste,NEUTRAL,HIGH,
Pécore,M,MEDIUM,
Péquenaud,AUTO,MEDIUM,
Branquignol,M,MEDIUM,
Pignouf,M,HIGH,
Dadais,M,MEDIUM,
Pleutre,M,MEDIUM,
Prestidigitateur,M,MEDIUM,
Peigne-cul,M,VERY_HIGH,
Rombière,F,HIGH,
Plaisantin,M,LOW,
Pintade,F,MEDIUM,
Canasson ,M,LOW,
Poney ,M,LOW,
Lapin,AUTO,LOW,
Nigaud,M,MEDIUM,
Loustic,M,LOW,
Docteur,M,LOW,
Criminel,M,HIGH,
Burne,F,MAX,
Trader,M,HIGH,
Comédien,M,HIGH,
Bâtard,M,MAX,
Saloperie,F,MAX,
Faisan,M,LOW,
Roger,M,LOW,
Jean,M,LOW,
Josiane ,F,LOW,
Monsieur,M,LOW,
Mister,M,LOW,
Madame,F,LOW,
Miss ,F,LOW,
Asticot,M,LOW,
Marcel,M,LOW,
Écureuil,M,LOW,
Bite,F,MAX,
Pénis,M,MAX,
Couille,F,MAX,
Aventurier,M,LOW,
Mange-merde,NEUTRAL,MAX,
Porcinet,M,HIGH,
Serviteur,M,HIGH,
Disciple,M,LOW,
Maître,M,MEDIUM,
Râpe à fromage,F,LOW,
Brosse à chiottes,F,HIGH,
Philosophe,NEUTRAL,LOW,
Tête-à-claques,NEUTRAL,HIGH,
Canard,M,LOW,
Imposteur,M,HIGH,
Mouchard,AUTO,HIGH,
Pantin,M,MEDIUM,
Branleur,M,MAX,
Baratineur,M,HIGH,
Baratineuse,F,HIGH,
Sanglier,M,LOW,
Fantassin,M,LOW,
Saltimbanque,M,MEDIUM,
Savant,M,LOW,
Scientifique,NEUTRAL,LOW,
Artiste,NEUTRAL,LOW,
Médium,NEUTRAL,LOW,
Astrologue,NEUTRAL,LOW,
Charlatan,M,HIGH,
Colonel,M,LOW,
Sbire,M,MEDIUM,
Trou-de-balle,M,MAX,
Princesse,F,LOW,
Princesse,M,LOW,
Impératrice,F,LOW,
Empereur,M,LOW,
Roi,M,LOW,
Reine,F,LOW,
Bras-cassé,M,MEDIUM,
Coach,NEUTRAL,LOW,
Ingénieur,AUTO,LOW,
Vachette,F,LOW,
Poulet ,M,LOW,
Assistant,AUTO,LOW,
Caniche,M,LOW,
Chèvre,F,LOW,
Saucisse,F,MEDIUM,
Merguez,F,MEDIUM,
Limace,F,MEDIUM,
Clodo,M,MAX,
Influenceur,M,MEDIUM,
Dromadaire,M,LOW,
Elfe,NEUTRAL,LOW,
Fée,F,LOW,
Génie,M,LOW,
Chupacabra,M,HIGH,
Crotte,F,MAX,
Dahu,M,LOW,
Dragon,M,LOW,
Gobelin,M,LOW,
Hippocampe,M,LOW,
Triton,M,MEDIUM,
Félin,AUTO,LOW,
Alcoolique,NEUTRAL,MAX,
Sous-merde,F,MAX,
Insecte,M,MEDIUM,
Rejeton,M,HIGH,
Rebut,M,VERY_HIGH,
Bouc-émissaire,M,HIGH,
Dindon,M,LOW,
Brouteur,M,VERY_HIGH,
Arnaqueur,AUTO,VERY_HIGH,
Lèche-bottes,NEUTRAL,VERY_HIGH,
Monstre,M,VERY_HIGH,
Entrepreneur,M,MEDIUM,
Punk à chien,NEUTRAL,HIGH,
Babouin,M,VERY_HIGH,
Poire à lavement,F,MAX,
